code,"[[78, 1], [123, 2], [124, 1], [125, 3], [128, 2], [130, 2], [143, 1], [146, 1], [152, 1], [156, 1], [157, 1], [161, 1], [162, 2], [163, 2], [164, 2], [165, 1], [167, 1], [170, 2], [178, 1], [180, 1], [182, 1], [183, 1], [189, 2], [190, 1], [200, 1], [202, 1], [204, 2], [205, 1], [206, 1], [207, 1], [208, 1], [209, 1], [210, 2], [211, 1], [212, 1], [215, 1], [216, 2], [224, 1], [228, 2]]"
partial,"[[18, 1]]"
illustr,"[[24, 1]]"
four,"[[14, 1]]"
prefix,"[[196, 1], [211, 1]]"
disc,"[[47, 1], [58, 1]]"
go,"[[5, 1], [38, 1], [48, 1], [49, 1], [54, 1], [57, 1], [58, 1], [60, 1], [63, 1], [165, 1], [191, 1], [194, 1], [230, 1]]"
follow,"[[44, 1], [132, 1], [133, 1], [134, 1], [163, 1], [188, 1]]"
disk,"[[20, 1]]"
depend,"[[221, 1]]"
system,"[[4, 1]]"
becau,"[[113, 1]]"
0,"[[132, 1], [133, 1], [134, 1], [149, 1], [150, 1], [201, 1], [203, 1], [204, 1], [207, 1]]"
program,"[[74, 1], [123, 1]]"
digit,"[[178, 1]]"
everi,"[[241, 1]]"
string,"[[27, 1], [34, 1], [35, 1], [78, 1]]"
far,"[[85, 1]]"
none,"[[220, 1]]"
mechan,"[[147, 1]]"
disast,"[[154, 1]]"
retriev,"[[11, 1]]"
1s,"[[133, 1], [134, 1], [150, 1], [203, 1]]"
exact,"[[113, 1]]"
level,"[[195, 1]]"
list,"[[231, 1]]"
fewer,"[[89, 1]]"
small,"[[7, 1], [16, 1], [84, 1], [88, 1], [89, 1], [94, 1], [105, 1], [106, 1], [142, 1], [153, 1], [213, 1], [218, 1]]"
round,"[[19, 1]]"
natur,"[[44, 1], [121, 1]]"
second,"[[234, 1]]"
cost,"[[78, 1], [91, 1]]"
odd,"[[201, 1]]"
even,"[[66, 1], [95, 1], [212, 1]]"
index,"[[2, 1], [5, 1], [6, 1], [18, 1], [23, 1], [32, 1], [61, 1], [65, 1], [69, 1], [80, 1], [223, 1], [225, 1]]"
abl,"[[9, 1], [18, 1], [84, 1]]"
uniform,"[[93, 1], [163, 1], [164, 1], [169, 1], [204, 1], [208, 1]]"
current,"[[116, 1]]"
method,"[[10, 1], [14, 1], [24, 1], [122, 1], [130, 1], [144, 1], [155, 1], [157, 1], [221, 1]]"
absolut,"[[141, 1]]"
gener,"[[12, 1], [23, 1], [40, 1], [70, 1], [72, 1], [77, 1]]"
let,"[[69, 1], [79, 1], [127, 1]]"
100,"[[135, 1], [136, 1], [137, 1]]"
101,"[[177, 1], [187, 1]]"
sinc,"[[144, 1], [184, 1]]"
valu,"[[71, 1], [75, 1], [76, 1], [78, 1], [83, 1], [93, 1], [94, 1], [110, 1], [129, 1], [138, 1], [160, 1], [165, 1], [179, 1], [235, 1], [236, 1]]"
convert,"[[238, 1]]"
32,"[[146, 1]]"
larger,"[[91, 1], [185, 1]]"
host,"[[67, 1]]"
implement,"[[4, 1]]"
magnitud,"[[160, 1]]"
commonli,"[[123, 1]]"
highli,"[[90, 1]]"
aggress,"[[152, 1], [155, 1]]"
use,"[[10, 1], [30, 1], [32, 1], [48, 1], [50, 1], [55, 1], [72, 1], [73, 1], [77, 1], [78, 1], [89, 1], [91, 1], [96, 1], [100, 1], [123, 1], [124, 1], [135, 1], [136, 1], [137, 1], [140, 1], [157, 1], [161, 1], [165, 1], [169, 1], [173, 1], [182, 1], [194, 1], [198, 1], [229, 1], [241, 1]]"
would,"[[47, 1], [51, 1], [53, 1], [55, 1], [108, 2], [110, 1], [149, 1], [154, 1], [163, 1], [176, 1], [196, 1], [199, 1], [219, 1], [221, 1]]"
memori,"[[9, 1], [12, 1], [46, 1], [48, 1], [55, 1]]"
two,"[[44, 1], [178, 1], [184, 1]]"
suppo,"[[231, 1]]"
next,"[[59, 1], [242, 1]]"
call,"[[19, 1], [100, 1], [167, 1]]"
6,"[[196, 1], [199, 1]]"
tell,"[[207, 1]]"
sort,"[[13, 1], [17, 1], [40, 1], [48, 1], [49, 2], [50, 1], [59, 1], [60, 1], [62, 1], [219, 1]]"
desir,"[[68, 1]]"
afford,"[[161, 1]]"
peopl,"[[224, 1]]"
So,"[[18, 1], [24, 1], [34, 1], [36, 1], [42, 1], [51, 1], [58, 1], [65, 1], [69, 1], [79, 1], [99, 1], [104, 1], [106, 1], [109, 1], [121, 1], [123, 1], [127, 1], [133, 1], [135, 1], [136, 1], [138, 1], [139, 1], [141, 1], [150, 1], [155, 1], [159, 1], [160, 1], [161, 1], [167, 1], [177, 1], [179, 1], [185, 1], [186, 1], [187, 1], [197, 1], [199, 1], [205, 1], [209, 1], [212, 1], [214, 1], [225, 1], [235, 1], [237, 1]]"
particular,"[[5, 1]]"
rare,"[[78, 1], [88, 1]]"
account,"[[17, 1]]"
word,"[[78, 1], [87, 1], [88, 1], [213, 1]]"
restor,"[[115, 1]]"
work,"[[14, 1], [36, 1], [121, 1], [141, 1], [221, 1], [224, 1]]"
remain,"[[165, 1], [169, 1]]"
whatev,"[[48, 1]]"
stream,"[[29, 1]]"
scan,"[[38, 1]]"
process,"[[41, 1], [45, 1], [55, 1], [112, 1], [120, 1]]"
share,"[[51, 1], [196, 1]]"
preci,"[[166, 1]]"
want,"[[30, 1]]"
occur,"[[84, 1], [88, 1], [107, 1]]"
differenti,"[[197, 1], [198, 1]]"
sip,"[[87, 1]]"
end,"[[149, 1], [150, 1], [186, 1], [193, 1], [198, 1], [199, 1], [202, 1]]"
turn,"[[100, 1]]"
anoth,"[[146, 1], [151, 1]]"
1,"[[53, 1], [64, 1], [131, 1], [132, 2], [140, 2], [159, 1], [166, 1], [182, 1], [183, 1], [184, 1], [185, 1], [186, 2], [192, 1], [193, 1]]"
alway,"[[200, 1]]"
instead,"[[73, 1], [199, 1]]"
simpl,"[[37, 1]]"
map,"[[27, 1], [29, 1], [34, 1]]"
okay,"[[214, 1], [215, 1]]"
earlier,"[[67, 1]]"
befor,"[[48, 1]]"
data,"[[9, 1], [45, 1], [66, 1], [112, 1]]"
averag,"[[95, 1]]"
short,"[[218, 1]]"
allow,"[[55, 1], [110, 1], [239, 1]]"
order,"[[45, 1], [111, 1], [113, 1], [197, 1]]"
talk,"[[226, 1]]"
oper,"[[217, 1]]"
help,"[[241, 1]]"
trade,"[[92, 1]]"
still,"[[185, 1]]"
perfect,"[[220, 1]]"
write,"[[20, 1], [47, 1], [54, 1], [58, 1]]"
group,"[[51, 1], [53, 1]]"
fit,"[[9, 1]]"
fix,"[[73, 1], [124, 1]]"
therefor,"[[43, 1], [89, 1]]"
might,"[[229, 1]]"
easier,"[[31, 1]]"
handl,"[[31, 1]]"
mention,"[[67, 1]]"
discuss,"[[4, 1], [5, 1], [228, 1]]"
term,"[[16, 1], [17, 1], [26, 1], [28, 1], [39, 1], [42, 1], [49, 1], [50, 1], [51, 1], [53, 1], [62, 1], [64, 1], [82, 1], [101, 1], [102, 1], [107, 1], [119, 2], [213, 1]]"
document,"[[16, 1], [25, 1], [26, 1], [27, 1], [38, 1], [39, 1], [40, 1], [41, 1], [42, 1], [43, 1], [44, 1], [52, 1], [56, 1], [57, 1], [64, 1], [82, 1], [97, 1], [102, 1], [103, 1], [104, 1], [107, 1], [112, 1], [114, 2], [115, 1], [116, 1], [118, 1], [119, 1], [229, 1], [232, 1], [238, 1], [240, 1], [241, 1], [242, 1]]"
easili,"[[149, 1]]"
found,"[[224, 1]]"
side,"[[203, 1], [204, 1]]"
mean,"[[181, 1], [191, 1], [214, 1], [219, 1]]"
replac,"[[211, 1]]"
continu,"[[4, 1]]"
realli,"[[128, 1], [216, 1]]"
special,"[[10, 1]]"
variabl,"[[72, 1], [130, 1], [144, 1], [147, 1]]"
shown,"[[14, 1]]"
space,"[[93, 1]]"
7,"[[196, 1]]"
got,"[[207, 1]]"
merg,"[[21, 1], [22, 2], [59, 1], [60, 1]]"
guess,"[[84, 1]]"
ineffici,"[[139, 1]]"
reason,"[[30, 1], [34, 1]]"
base,"[[13, 1], [17, 1], [27, 1], [49, 1], [62, 1]]"
dictionari,"[[8, 1]]"
frequenc,"[[15, 1], [39, 1], [40, 1], [79, 1], [81, 1], [82, 1]]"
could,"[[196, 1]]"
recov,"[[113, 1], [114, 1], [235, 1], [241, 1]]"
thing,"[[81, 1]]"
length,"[[72, 1], [73, 1], [128, 1], [130, 1], [144, 1], [147, 1]]"
think,"[[79, 1], [83, 1], [87, 1], [228, 1]]"
frequent,"[[77, 1], [83, 1], [85, 1], [90, 1], [94, 1], [108, 1]]"
first,"[[15, 1], [42, 2], [114, 1], [162, 1], [178, 1], [200, 1], [206, 1], [232, 2], [234, 1]]"
origin,"[[160, 1]]"
degr,"[[218, 1]]"
carri,"[[35, 1]]"
onc,"[[119, 1], [207, 1]]"
number,"[[84, 1], [85, 1], [88, 1], [95, 1], [106, 1], [108, 1], [135, 1], [136, 1], [138, 2], [139, 1], [140, 1], [142, 2], [151, 2], [153, 1], [154, 1], [196, 1], [201, 1], [214, 1]]"
one,"[[34, 1], [43, 1], [151, 1], [156, 1], [168, 1], [234, 1]]"
array,"[[33, 1]]"
differ,"[[101, 1], [104, 1], [113, 1], [115, 1], [122, 1], [170, 1], [173, 1], [176, 1], [186, 1], [191, 1], [218, 1], [234, 1]]"
top,"[[63, 1]]"
sometim,"[[95, 1]]"
construct,"[[3, 1], [5, 1], [6, 1], [8, 1], [65, 1]]"
termid,"[[15, 1]]"
similarli,"[[188, 1]]"
store,"[[8, 1], [101, 1], [113, 1]]"
way,"[[98, 1]]"
part,"[[165, 1], [169, 1]]"
mostli,"[[142, 1]]"
conserv,"[[212, 1]]"
x2,"[[231, 1], [233, 1], [235, 1]]"
