1,00:00:00.012,00:00:03.586,[]
2,00:00:07.325,00:00:10.038,"[u'thi', u'lectur', u'invert', 'index']"
3,00:00:10.038,00:00:11.160,[u'construct']
4,00:00:13.840,00:00:18.520,"['In', u'lectur', u'continu', u'discuss', 'system', u'implement']"
5,00:00:18.520,00:00:22.019,"['In', 'particular', u'go', u'discuss', 'construct', u'invert', 'index']"
6,00:00:25.096,00:00:29.259,"['the', u'construct', u'invert', 'index', u'actual', u'easi', 'dataset']"
7,00:00:29.259,00:00:30.450,['small']
8,00:00:30.450,00:00:35.430,"['It', u'easi', 'construct', u'dictionari', 'store', u'post', 'file']"
9,00:00:36.600,00:00:42.280,"['the', 'problem', 'data', u'abl', 'fit', u'memori']"
10,00:00:42.280,00:00:45.180,"['use', 'special', 'method', 'deal']"
11,00:00:46.500,00:00:51.900,"['and', u'unfortun', u'retriev', u'applic', 'dataset', u'larg']"
12,00:00:51.900,00:00:55.700,"['and', u'gener', 'cannot', u'load', u'memori']"
13,00:00:56.790,00:01:01.843,"['and', u'mani', u'approach', u'solv', 'problem', u'sort', u'base']"
14,00:01:01.843,00:01:06.710,"['method', u'quit', 'common', u'work', 'four', u'step', 'shown']"
15,00:01:06.710,00:01:11.480,"['first', 'collect', 'local', 'termid', 'documentid', u'frequenc', u'tupl']"
16,00:01:11.480,00:01:16.946,"[u'basic', u'locat', u'term', 'small', 'set', u'document']"
17,00:01:16.946,00:01:24.117,"['and', 'collect', u'account', 'sort', 'count', u'base', u'term']"
18,00:01:24.117,00:01:29.104,"['So', u'abl', 'local', 'partial', u'invert', 'index']"
19,00:01:29.104,00:01:31.310,"[u'call', u'round']"
20,00:01:31.310,00:01:36.930,"['and', 'write', u'temporari', 'file', 'disk']"
21,00:01:36.930,00:01:38.940,"[u'merg', 'step', '3']"
22,00:01:38.940,00:01:44.104,"['Do', u'pairwis', u'merg', u'run', u'eventu', u'merg', u'run']"
23,00:01:44.104,00:01:46.460,"[u'gener', u'singl', u'invert', 'index']"
24,00:01:47.700,00:01:50.823,"['So', u'illustr', 'method']"
25,00:01:50.823,00:01:54.265,"['On', 'left', 'see', u'document']"
26,00:01:54.265,00:01:59.942,"['right', 'term', 'lexicon', 'document', 'ID', 'lexicon']"
27,00:01:59.942,00:02:08.070,"['these', u'lexicon', 'map', 'string', u'base', u'represent', 'document', u'id']"
28,00:02:08.070,00:02:12.261,"[u'term', u'integ', u'represent']"
29,00:02:12.261,00:02:18.112,"['map', 'back', u'integ', 'stream', u'represent']"
30,00:02:18.112,00:02:23.010,"['the', 'reason', 'want', 'interest', u'use', u'integ', 'present']"
31,00:02:23.010,00:02:26.930,"[u'id', u'integ', 'often', 'easier', u'handl']"
32,00:02:26.930,00:02:29.770,"['for', u'exampl', u'integ', u'use', 'index']"
33,00:02:29.770,00:02:33.240,"['array', 'also', u'easi', u'compress']"
34,00:02:34.390,00:02:40.530,"['So', 'one', 'reason', 'tend', 'map', u'string', u'integ']"
35,00:02:42.180,00:02:46.710,"[u'carri', u'string', 'around']"
36,00:02:46.710,00:02:48.070,"['So', 'approach', 'work']"
37,00:02:48.070,00:02:49.822,"['well', u'simpl']"
38,00:02:49.822,00:02:53.260,"['We', u'go', 'scan', u'document', u'sequenti']"
39,00:02:53.260,00:02:58.260,"[u'pars', u'document', 'count', u'frequenc', u'term']"
40,00:02:58.260,00:03:03.306,"['and', 'stage', u'gener', 'sort', u'frequenc', 'document', u'id']"
41,00:03:03.306,00:03:06.961,"[u'process', 'document', u'sequenti']"
42,00:03:06.961,00:03:11.310,"['So', 'first', u'encount', u'term', 'first', 'document']"
43,00:03:11.310,00:03:18.786,"[u'therefor', 'document', u'id', u'one', 'case']"
44,00:03:18.786,00:03:25.503,"['and', u'follow', 'document', u'id', 'two', u'natur', u'result']"
45,00:03:25.503,00:03:31.280,"[u'process', 'data', u'sequenti', 'order']"
46,00:03:31.280,00:03:34.890,"['At', 'point', 'run', u'memori']"
47,00:03:34.890,00:03:39.080,"['would', 'write', 'disc']"
48,00:03:39.080,00:03:45.830,"[u'befor', u'go', 'sort', 'use', u'whatev', u'memori']"
49,00:03:45.830,00:03:51.948,"['We', 'sort', 'time', u'go', 'sort', u'base', 'term', u'id']"
50,00:03:51.948,00:03:59.459,"['note', u'use', 'term', u'id', 'key', 'sort']"
51,00:03:59.459,00:04:03.827,"['So', u'entri', 'share', 'term', 'would', u'group', u'togeth']"
52,00:04:03.827,00:04:08.557,"['In', 'case', 'see', u'id', u'document']"
53,00:04:08.557,00:04:14.090,"['match', 'term', '1', 'would', u'group', u'togeth']"
54,00:04:14.090,00:04:18.850,"['and', u'go', 'write', u'temporari', 'file']"
55,00:04:18.850,00:04:22.800,"['and', 'would', u'allow', 'use', u'memori', u'process']"
56,00:04:22.800,00:04:24.030,"[u'make', 'batch', u'document']"
57,00:04:24.030,00:04:26.670,"['and', u'go', u'document']"
58,00:04:26.670,00:04:32.546,"['So', u'go', 'write', 'lot', u'temporari', u'file', 'disc']"
59,00:04:32.546,00:04:35.400,"['and', 'next', 'stage', u'merg', 'sort', u'basic']"
60,00:04:35.400,00:04:38.360,"['We', u'go', u'merg', 'sort']"
61,00:04:38.360,00:04:41.729,"[u'eventu', 'get', u'singl', u'invert', 'index']"
62,00:04:41.729,00:04:45.310,"[u'entri', u'sort', u'base', 'term', u'id']"
63,00:04:46.960,00:04:50.870,"['and', 'top', u'go', 'see', 'older', u'entri']"
64,00:04:50.870,00:04:53.620,"[u'document', 'match', 'term', 'ID', '1']"
65,00:04:53.620,00:05:00.300,"['So', u'basic', u'construct', u'invert', 'index']"
66,00:05:00.300,00:05:06.445,"['even', 'though', 'data', 'cannot', u'load', 'manner']"
67,00:05:06.445,00:05:12.562,"['now', 'mention', 'earlier', u'host', u'larg']"
68,00:05:12.562,00:05:15.848,"[u'desir', u'compress']"
69,00:05:15.848,00:05:20.481,"['So', 'let', 'take', u'littl', 'bit', u'compress', u'invert', 'index']"
70,00:05:20.481,00:05:24.084,"['well', 'idea', u'compress', u'gener']"
71,00:05:24.084,00:05:28.310,"[u'leverag', u'skew', u'distribut', u'valu']"
72,00:05:28.310,00:05:31.090,"['and', u'gener', 'use', u'variabl', 'length', u'encod']"
73,00:05:31.090,00:05:36.830,"['instead', u'fix', 'length', u'encod', 'use', 'default']"
74,00:05:36.830,00:05:41.080,"['program', u'manag', 'like', 'C']"
75,00:05:41.080,00:05:45.840,"['and', u'leverag', u'skew', u'distribut', u'valu']"
76,00:05:45.840,00:05:48.180,"[u'compress', u'valu']"
77,00:05:48.180,00:05:53.827,"['well', u'gener', 'use', u'bit', u'encod', 'frequent']"
78,00:05:53.827,00:06:00.650,"[u'word', 'cost', u'use', 'longer', 'bit', 'string', 'code', 'rare', u'valu']"
79,00:06:00.650,00:06:04.560,"['So', 'case', 'let', 'think', u'compress', 'TF', 'tone', u'frequenc']"
80,00:06:05.640,00:06:09.640,"['now', u'pictur', u'invert', 'index', 'look', 'like']"
81,00:06:09.640,00:06:13.807,"['see', 'post', u'thing', 'lot', 'tone', u'frequenc']"
82,00:06:13.807,00:06:19.089,"['those', u'frequenc', u'term', u'document']"
83,00:06:19.089,00:06:25.650,"['now', 'think', 'kind', u'valu', 'frequent']"
84,00:06:25.650,00:06:29.980,"['you', u'probabl', u'abl', u'guess', 'small', u'number', 'tend', 'occur']"
85,00:06:29.980,00:06:32.540,"['far', u'frequent', u'larg', u'number']"
86,00:06:32.540,00:06:33.990,[u'whi']
87,00:06:33.990,00:06:39.954,"['well', 'think', u'distribut', u'word', 'sip', u'slope']"
88,00:06:39.954,00:06:44.810,"[u'mani', u'word', 'occur', u'rare', 'see', 'lot', 'small', u'number']"
89,00:06:44.810,00:06:48.419,"[u'therefor', 'use', 'fewer', u'bit', 'small']"
90,00:06:48.419,00:06:53.855,"[u'highli', 'frequent', u'integ']"
91,00:06:53.855,00:06:57.095,"['cost', u'use', u'bit', 'larger', u'integ']"
